Designator,Mid X,Mid Y,Layer,Rotation
C1,128.3,-91.25,top,180
C2,128.3,-89.15,top,180
C3,128.315,-93.35,top,180
C4,137.5,-97.925,top,0
C5,107.15,-92.3,top,180
C6,107.15,-90,top,180
C7,107.8,-87.7,top,180
C8,106.4,-84.4,top,90
C9,157.3,-90.6,top,180
C10,106.5,-80.75,top,-90
C11,122,-87.15,top,-90
C12,120,-87.15,top,-90
C13,181.75,-86.2,top,180
C14,181.75,-88.5,top,180
C15,185.8,-86.2,top,0
C16,185.8,-88.5,top,0
C17,173.5,-84.1,top,180
C18,170.8,-95.4,top,0
C19,174,-94.75,top,-90
C20,178.8,-94.7,top,-90
C21,166.6,-87.2,top,0
C22,166.2,-89.6,top,0
C23,166.2,-91.7,top,0
D1,150.35,-78.6,top,-90
D2,147.9,-78.6,top,-90
D3,141.8,-97.6,top,90
D4,143.3,-91.6,top,180
D5,116.5,-83.275,top,90
D6,169.5,-79.6,top,0
DC1,141.375,-84.6,top,0
DC2,156.85,-84.6,top,0
L1,149.8,-97.6,top,0
L2,114,-91,top,0
L3,179.6,-80.9,top,180
L4,163,-90.6,top,-90
Q1,122.8,-95.6,top,90
Q2,112.8,-99.4,top,-90
Q3,132.7,-97.9,top,180
Q4,184.6,-95.4,top,-90
R1,115.8,-96.4,top,180
R2,116.9,-99.4,top,-90
R3,150.4,-82.2,top,-90
R5,157.3,-92.6,top,180
R6,110.7,-77.7,top,180
R7,186.9,-82.7,top,0
R8,116.4,-79.25,top,90
R9,114.4,-79.25,top,90
R10,114.4,-83.3375,top,-90
R11,171.7,-87.4,top,-90
R12,170.8,-92.95,top,0
R13,176.4,-94.7,top,90
R14,179.8,-91.2875,top,90
R15,166.2875,-84.1,top,180
R16,169.7075,-84.11,top,180
RV1,150.8,-91.6,top,0
SW1,190.3,-78.8,top,180
U1,134.8,-91.675,top,90
U2,110.395,-82.7,top,90
U3,175.9,-89.2,top,-90
